ID,audio_path,num_samples,sample_rate,transcription,gender,lang_id,language,lang_group_id
1904,test/1003119935936341070.wav,168960,16000,however due to the slow communication channels styles in the west could lag behind by 25 to 30 year,0,19,English,0
1675,test/10052240106321793346.wav,140160,16000,all nouns alongside the word sie for you always begin with a capital letter even in the middle of a sentence,0,19,English,0
1950,test/10167324587744183095.wav,183360,16000,to the north and within easy reach is the romantic and fascinating town of sintra and which was made famous to foreigners after a glowing account of its splendours recorded by lord byron,1,19,English,0
1728,test/10197164397713068203.wav,92160,16000,the cabbage juice changes color depending on how acidic or basic alkaline the chemical is,1,19,English,0
1972,test/10233995782544396174.wav,69120,16000,many people don't think about them as dinosaurs because they have feathers and can fly,1,19,English,0
1938,test/10235738076911595987.wav,182720,16000,the hospital has followed protocol for infection control including separating the patient from others to prevent possible infection of others,0,19,English,0
1876,test/10323357556845456822.wav,172800,16000,the northern marianas emergency management office said that there were no damages reported in the nation,1,19,English,0
1914,test/10335587906469246566.wav,111360,16000,twentieth century research has shown that there are two pools of genetic variation hidden and expressed,1,19,English,0
1846,test/10344335557154974057.wav,176640,16000,the aspect ratio of this format dividing by twelve to obtain the simplest whole-number ratio is therefore said to be 3:2,0,19,English,0
1806,test/1036771894648013441.wav,158400,16000,as light pollution in their heyday was not the kind of problem it is today they are usually located in cities or at campuses easier to reach than those built in modern times,1,19,English,0
1776,test/1038214857203833067.wav,76800,16000,through the night between 150 and 200 copies were made now known as dunlap broadsides,1,19,English,0
1729,test/10383288285905292158.wav,180480,16000,for example each year students from bennet school in north carolina design a website about their trip to the state capital each year the website gets remodeled but old versions are kept online to serve as a scrapbook,1,19,English,0
1855,test/10405958125670257178.wav,174720,16000,lion prides act much like packs of wolves or dogs animals surprisingly similar to lions but not other big cats in behavior and also very deadly to their prey,1,19,English,0
1919,test/10411016628242228511.wav,180480,16000,the city is also the base to climb the nyiragongo volcano along with some of the cheapest mountain gorilla tracking in africa,1,19,English,0
1802,test/1042003289011443756.wav,91520,16000,the internet combines elements of both mass and interpersonal communication,0,19,English,0
1711,test/1043394666292127188.wav,248960,16000,these theories look at what it is about certain people that make them want the things that they do and what things in their environment will make them do or not do certain things,0,19,English,0
1685,test/1045619486290403122.wav,222720,16000,for example the most common still image photography format in the world is 35mm which was the dominant film size at the close of the analog film era,1,19,English,0
1992,test/1046653381869710616.wav,138240,16000,the term safari in popular use refers to overland travel to view the stunning african wildlife particularly on savanna,1,19,English,0
2005,test/10471564175308895403.wav,85760,16000,but there are a lot of things about birds that still look like a dinosaur,0,19,English,0
1982,test/10481451226514948764.wav,162240,16000,women it is recommended that any women travellers say that they are married regardless of actual marital status,0,19,English,0
1674,test/10492135991603561867.wav,90240,16000,in some areas boiling water for a minute is enough in others several minutes are needed,1,19,English,0
1952,test/10492761258488775721.wav,137280,16000,anyone who's going to drive at high latitudes or over mountain passes should consider the possibility of snow ice or freezing temperatures,1,19,English,0
1752,test/10536763405165824117.wav,183040,16000,as a result two fish species have become extinct and two others have become endangered including the humpback chub,0,19,English,0
1749,test/1054805305879816018.wav,153600,16000,it was ruled by the vichy french these were french people who had made peace with the germans in 1940 and worked with the invaders instead of fighting them,1,19,English,0
1705,test/10550734868852131138.wav,161920,16000,on 15 august 1940 the allies invaded southern france the invasion was called operation dragoon,0,19,English,0
1662,test/10614481583312370701.wav,134080,16000,alloys are basically a mixture of two or more metals don't forget that there are many elements on the periodic table,0,19,English,0
1729,test/10622204403793540766.wav,182400,16000,for example each year students from bennet school in north carolina design a website about their trip to the state capital each year the website gets remodeled but old versions are kept online to serve as a scrapbook,1,19,English,0
1790,test/10731896540541531669.wav,234560,16000,his work is of such recognized quality and detail that he is one of the very few household names among philatelists some specialize in collecting his work alone,0,19,English,0
1858,test/10751756685109361684.wav,100800,16000,danielle lantagne a un expert on the disease stated the outbreak was likely caused by the peacekeepers,1,19,English,0
1789,test/10768814098664478369.wav,233600,16000,the other nominations include best picture director cinematography costume design film-editing original score production design sound editing sound mixing and original screenplay,0,19,English,0
1909,test/10849792007407044602.wav,90240,16000,virtual teams are held to the same standards of excellence as conventional teams but there are subtle differences,1,19,English,0
1897,test/10861831846737909528.wav,153280,16000,in the north the region is bounded by the sahel and in the south and west by the atlantic ocean,0,19,English,0
1680,test/10894616243452123700.wav,163200,16000,a well rounded athlete the tiger can climb though not well swim leap great distances and pull with five times the force of a strong human,1,19,English,0
1953,test/10899527843662463911.wav,109440,16000,he was subsequently relocated to addenbrooke's hospital in cambridge,1,19,English,0
1740,test/10903101168349732260.wav,133440,16000,the pyramid sound and light show is one of the most interesting things in the area for kids,0,19,English,0
1717,test/10933070083389897676.wav,174720,16000,due to the underwater topology the return flow is concentrated at a few deeper sections and a fast current to deep water may form there,1,19,English,0
1987,test/10937407360976471523.wav,157120,16000,the crash occurred high up in mountainous terrain and is believed to have been the result of hostile fire,0,19,English,0
1990,test/10938576782105608041.wav,140160,16000,blogs can also help improve student writing while students often begin their blog experience with sloppy grammar and spelling the presence of an audience generally changes that,1,19,English,0
1908,test/10969774925516121312.wav,72000,16000,this is an important way to distinguish between some verbs and objects,1,19,English,0
1752,test/11060294228176938598.wav,120960,16000,as a result two fish species have become extinct and two others have become endangered including the humpback chub,1,19,English,0
2005,test/1107772981946748169.wav,92480,16000,but there are a lot of things about birds that still look like a dinosaur,0,19,English,0
1678,test/1111475259790805601.wav,204480,16000,oliver sacks in his paper the president's speech indicated how people who are unable to understand speech because of brain damage are nevertheless able to assess sincerity accurately,1,19,English,0
1701,test/11147918080606585533.wav,169920,16000,"goats seem to have been first domesticated roughly 10,000 years ago in the zagros mountains of iran",0,19,English,0
2001,test/1116140877447157610.wav,117120,16000,travellers are strongly advised to be aware of any risk of severe weather affecting their area as they may affect any travel plans,1,19,English,0
1991,test/1116401173651214130.wav,182400,16000,during this period of european history the catholic church which had become rich and powerful came under scrutiny,0,19,English,0
1895,test/11200231708585274851.wav,162880,16000,as knowledge of greek declined the west found itself cut off from its greek philosophical and scientific roots,0,19,English,0
1710,test/11260391063812418810.wav,145920,16000,last week meti announced that apple had informed it of 34 additional overheating incidents which the company called non-serious,1,19,English,0
1975,test/11265842188315045636.wav,171840,16000,vatican city's population is around 800 it is the smallest independent country in the world and the country with the lowest population,1,19,English,0
1864,test/11318597463051480163.wav,305920,16000,mrs kirchner announced her intention to run for president at the argentine theatre the same location she used to start her 2005 campaign for the senate as member of the buenos aires province delegation,0,19,English,0
1720,test/11374239868879585530.wav,102720,16000,the hot chocolate is up to belgian standards fruit juices are pricey but excellent,1,19,English,0
1723,test/11426556553252626005.wav,204480,16000,the harbor was the site of an infamous naval standoff in 1889 when seven ships from germany the us and britain refused to leave the harbor,0,19,English,0
1769,test/11459777646810052940.wav,143040,16000,built by the egyptians in the third century bce the great pyramid is one of many large pyramid structures built to honor dead pharaoh,1,19,English,0
1794,test/1146643745158029931.wav,142080,16000,a civilization is a singular culture shared by a significant large group of people who live and work co-operatively a society,1,19,English,0
1950,test/11483786862560523973.wav,199680,16000,to the north and within easy reach is the romantic and fascinating town of sintra and which was made famous to foreigners after a glowing account of its splendours recorded by lord byron,1,19,English,0
1855,test/11497310594035767755.wav,163200,16000,lion prides act much like packs of wolves or dogs animals surprisingly similar to lions but not other big cats in behavior and also very deadly to their prey,1,19,English,0
1882,test/11504385604540375365.wav,98880,16000,scientists hope to understand how planets form especially how the earth formed since comets collided with the earth long ago,1,19,English,0
1890,test/11525263464519603482.wav,109440,16000,most modern research telescopes are enormous facilities in remote areas with favorable atmospheric conditions,1,19,English,0
1849,test/1153104690713813269.wav,108480,16000,if you have watched the movie national treasure you may think a treasure map was written on the back of the declaration of independence,1,19,English,0
1893,test/11536232800365538941.wav,163200,16000,the sundarbans are the largest littoral mangrove belt in the world stretching 80 km 50 mi into the bangladeshi and indian hinterland from the coast,1,19,English,0
1667,test/11554335886429174193.wav,227520,16000,generally speaking two behaviors can emerge as managers begin to lead their former peers. one end of the spectrum is trying to remain  one of the guys” or gals,1,19,English,0
1814,test/11559094331412401332.wav,122880,16000,hydrogen ions are protons that had their electrons stripped off them since hydrogen atoms consist of one proton and one electron,1,19,English,0
1893,test/11593450817032542587.wav,195840,16000,the sundarbans are the largest littoral mangrove belt in the world stretching 80 km 50 mi into the bangladeshi and indian hinterland from the coast,1,19,English,0
1999,test/11596505942268625598.wav,140160,16000,throughout 1960s brzezinski worked for john f kennedy as his advisor and then the lyndon b johnson administration,1,19,English,0
1722,test/11617272550749387741.wav,150720,16000,cuomo 53 began his governorship earlier this year and signed a bill last month legalizing same-sex marriage,1,19,English,0
1778,test/11665346626937246597.wav,80640,16000,television reports show white smoke coming from the plant,1,19,English,0
1830,test/11668734600035674277.wav,170240,16000,the ruling party south west africa people's organisation swapo also retained a majority in the parliamentary elections,0,19,English,0
1841,test/11670188897888947692.wav,151680,16000,nothing can be seen other than the clear beautiful sky above and the many surrounding mountains very little of this world can be seen or heard from inside the cave,1,19,English,0
1866,test/11705046490861852963.wav,125760,16000,first most riders wear riding boots with a heel and a smooth quite narrow sole,1,19,English,0
1712,test/11766033532714442721.wav,279360,16000,"since 1966 the sundarbans have been a wildlife sanctuary and it is estimated that there are now 400 royal bengal tigers and about 30,000 spotted deer in the area",0,19,English,0
1831,test/11781376959217630586.wav,245760,16000,the plitvice lakes national park is heavily forested mainly with beech spruce and fir trees and features a mixture of alpine and mediterranean vegetation,0,19,English,0
1939,test/11820398005906165915.wav,112320,16000,also after the revolution occupations were open to all male applicants allowing the most ambitious and successful to succeed,1,19,English,0
1870,test/11827077161070295147.wav,69120,16000,the scenes are displayed on the pyramids and the different pyramids are lit up,1,19,English,0
1941,test/11853072634976133891.wav,109440,16000,these couples may choose to make an adoption plan for their baby,0,19,English,0
1911,test/11880309600276730497.wav,238080,16000,similarly by having a schengen visa you do not need to apply for visas to each of the schengen member countries separately hence saving time money and paperwork,1,19,English,0
1698,test/11966709226632417907.wav,102720,16000,everything in the universe is made of matter all matter is made of tiny particles called atoms,0,19,English,0
1750,test/11974497390699501411.wav,73920,16000,the find also grants insight into the evolution of feathers in birds,1,19,English,0
1803,test/11987168412167267165.wav,136320,16000,the moisture on your hands will react with the outer layers which will feel funny and form a sort of shell,0,19,English,0
1792,test/12018418318980824126.wav,94080,16000,this is called a chemical's ph you can make an indicator using red cabbage juice,1,19,English,0
1757,test/12156117084384995618.wav,175680,16000,only mutations in germ-line cells can be passed on to children while mutations elsewhere can cause cell-death or cancer,1,19,English,0
1860,test/12164368102080603077.wav,116160,16000,the governor's office said nineteen of the injured were police officers,1,19,English,0
1798,test/1218355507714944126.wav,210880,16000,in its early days the show was featured solely at the long-running internet radio site toginet radio a site focused on talk radio,0,19,English,0
1824,test/12190760535244332971.wav,240960,16000,the giza plateau or giza necropolis in the egyptian valley of the dead contains several pyramids of which the great pyramid is the largest several small tombs several temples and the great sphinx,0,19,English,0
1941,test/12200368278244671662.wav,76800,16000,these couples may choose to make an adoption plan for their baby,1,19,English,0
1896,test/12230326991067783666.wav,240000,16000,usa gymnastics and the usoc have the same goal making the sport of gymnastics and others as safe as possible for athletes to follow their dreams in a safe positive and empowered environment,1,19,English,0
1955,test/12239464249642485259.wav,115200,16000,ms is a disease that affects the central nervous system which is made up of the brain the spinal cord and the optic nerve,1,19,English,0
1881,test/12316410148883063626.wav,122880,16000,sharing a field trip virtually is also a great way to reflect a on a trip and share experiences with future classes,1,19,English,0
1797,test/12356293452530186109.wav,186240,16000,everyone participates in society and uses transportation systems almost everyone complains about transportation systems,0,19,English,0
1899,test/12381237049043414166.wav,180480,16000,muhammad was deeply interested in matters beyond this mundane life. he used to frequent a cave that became known as  hira‘” on the mountain of  noor” light for contemplation,1,19,English,0
1691,test/12382404601461539160.wav,149760,16000,on some routes the larger companies have their own planes but for other routes and smaller firms there was a problem,0,19,English,0
1801,test/1242235796224521830.wav,228480,16000,the parade of buildings that make the hong kong skyline has been likened to a glittering bar chart that is made apparent by the presence of the waters of victoria harbour,0,19,English,0
1846,test/12442340605801616197.wav,140160,16000,the aspect ratio of this format dividing by twelve to obtain the simplest whole-number ratio is therefore said to be 3:2,1,19,English,0
1732,test/12462354014280856258.wav,218880,16000,the age where the events took place is commonly referred as the high middle ages the period of european history in the 11th 12th and 13th centuries ad 1000–1300,1,19,English,0
1969,test/12517884865939916901.wav,204800,16000,it states that the most effective place for the main subject is at the intersection of lines dividing the image into thirds vertically and horizontally see example,0,19,English,0
1722,test/125194026787628519.wav,148800,16000,cuomo 53 began his governorship earlier this year and signed a bill last month legalizing same-sex marriage,1,19,English,0
1668,test/12519810849995407480.wav,213120,16000,it may also be beneficial for one to buy a wild card which provides entry to either selections of parks in south africa or all of the south african national parks,1,19,English,0
2004,test/12570605547501325774.wav,103680,16000,the same month saw another airliner overrun a runway at mashhad and strike a wall killing seventeen,1,19,English,0
1750,test/12596201646041937807.wav,82560,16000,the find also grants insight into the evolution of feathers in birds,1,19,English,0
1760,test/12596571867015231445.wav,110400,16000,mosasaurus was the apex predator of its time so it feared nothing except other mosasaurs,1,19,English,0
1930,test/1261572251451962704.wav,146560,16000,six hostages including the children and elderly were released early as were the filipino photographers,0,19,English,0
1799,test/12618421744672029626.wav,91200,16000,beyond wednesday's event carpanedo competed in two individual races at the championships,1,19,English,0
1867,test/12682843461389402977.wav,112320,16000,plants make oxygen which humans breathe and they take in carbon-dioxide which humans exhale that is breathe out,1,19,English,0
2008,test/12700569942235742079.wav,154560,16000,other subjects on the agenda in bali include saving the world's remaining forests and sharing technologies to help developing nations grow in less-polluting ways,1,19,English,0
1821,test/1270296314827012368.wav,101760,16000,the correlation between brain pathology and behaviour supports scientists in their research,1,19,English,0
1779,test/12725120105000747485.wav,172800,16000,the announcement was made after trump had a phone conversation with turkish president recep tayyip erdoğan,0,19,English,0
1911,test/12728606633758857674.wav,237440,16000,similarly by having a schengen visa you do not need to apply for visas to each of the schengen member countries separately hence saving time money and paperwork,0,19,English,0
1807,test/1273817225649957097.wav,197120,16000,italian is also the everyday language used by most of those who work in the state while latin is often used in religious ceremonies,0,19,English,0
1980,test/12741024238657315067.wav,202240,16000,unfortunately studying traffic flow is difficult because driver behavior cannot be predicted with one-hundred percent certainty,0,19,English,0
1660,test/12742373433258665797.wav,170880,16000,romanticism had a large element of cultural determinism drawn from writers such as goethe fichte and schlegel,1,19,English,0
1680,test/1277588711703410007.wav,238080,16000,a well rounded athlete the tiger can climb though not well swim leap great distances and pull with five times the force of a strong human,0,19,English,0
1825,test/12782801286775256949.wav,147840,16000,if you want to be close to the action you're going to have to get in early to get a camping site close to the music,0,19,English,0
1671,test/12784232275162817860.wav,160320,16000,congress began funding the obscenity initiative in fiscal 2005 and specified that the fbi must devote 10 agents to adult pornography,1,19,English,0
1889,test/12820699144181559822.wav,77760,16000,it has brought us the train the car and many other transportation devices,1,19,English,0
